"date","value","topic","variable_oldname","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-30,6526,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,497,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,3687,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,380,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,4645,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,2716,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,327,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,126,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,1882,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,170,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,2189,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-01-30,235,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,6505,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,478,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,3613,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,361,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,4693,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,2751,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,324,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,126,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,1812,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,156,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,2069,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-06,214,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,6740,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,501,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,3634,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,365,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,5016,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,2892,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,354,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,134,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,1724,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,146,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,2029,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-13,208,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,6703,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,480,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,3480,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,344,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,5054,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
